Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE,,,,OLD BEST,, New Model Best RMSE Value,WA,,NEW BEST,,DIFF,ALL BEST,,BEST ML,ALL BEST ML,,,,LR,KNN,NN,RF,SVR,POLY,WA,,LR Best,KNN best,NN best,RF best,SVR best,POLY best,WA best
3,35, LR, SVR,365.9486437,106.9548628,322.2270421,74.99632161,4,7,3,46.66666667,58.33333333,,,,322.2270421,,365.9486437,429.9117351,,365.9486437,,-43.72160159,322.2270421,, LR,OLD,,,,365.9486437, , , , , , ,, , , , , , , 
3,36, KNN, SVR,123.8699115,38.85764789,113.1567037,27.21572469,3,8,3,45.90163934,57.37704918,,,,113.1567037,,123.8699115,119.3678314,,119.3678314,,-6.211127712,113.1567037,,WA,OLD,,,, , , , , , ,119.3678314,, , , , , , , 
3,37, KNN, SVR,51.8309007,11.04318905,60.34158193,12.60455017,0,0,0,46.77419355,58.06451613,,,,60.34158193,,51.8309007,140.1787449,,51.8309007,,8.51068123,51.8309007,, KNN, KNN,,,, ,51.8309007, , , , , ,, ,51.8309007, , , , , 
3,38, NN, SVR,27.07806237,5.123627648,12.70983576,2.631769816,4,1,1,46.03174603,57.14285714,,,,12.70983576,,27.07806237,81.08444993,,27.07806237,,-14.36822661,12.70983576,, NN,OLD,,,, , ,27.07806237, , , , ,, , , , , , , 
3,39, NN, RF,3.452920219,0.449529998,14.87085136,3.889246877,0,0,0,46.875,57.8125,,,,14.87085136,,3.452920219,473.220051,,3.452920219,,11.41793114,3.452920219,, NN, NN,,,, , ,3.452920219, , , , ,, , ,3.452920219, , , , 
3,48, SVR, SVR,0.335327323,0.070906166,81.26954573,21.70847778,0,0,0,47.69230769,58.46153846,,,,81.26954573,,0.335327323,242.8610016,,0.335327323,,80.9342184,0.335327323,, SVR, SVR,,,, , , , ,0.335327323, , ,, , , , ,0.335327323, , 
3,49, SVR, SVR,4.311489525,0.598844452,117.5546416,27.02521769,0,0,0,48.48484848,59.09090909,,,,117.5546416,,4.311489525,322.2251569,,4.311489525,,113.243152,4.311489525,, SVR, SVR,,,, , , , ,4.311489525, , ,, , , , ,4.311489525, , 
3,50, SVR, SVR,2.194108624,0.425569486,28.66559848,11.36015218,0,0,0,49.25373134,59.70149254,,,,28.66559848,,2.194108624,361.7052286,,2.194108624,,26.47148986,2.194108624,, SVR, SVR,,,, , , , ,2.194108624, , ,, , , , ,2.194108624, , 
3,51, LR, KNN,265.4311199,62.60026637,169.4367507,60.58249512,3,1,1,48.52941176,58.82352941,,,,169.4367507,,265.4311199,326.0714802,,265.4311199,,-95.9943692,169.4367507,, LR,OLD,,,,265.4311199, , , , , , ,, , , , , , , 
3,52, KNN, KNN,165.4605882,56.65671815,178.6218597,51.75336914,0,2,0,49.27536232,57.97101449,,,,178.6218597,,165.4605882,178.1632036,,165.4605882,,13.16127142,165.4605882,, KNN, KNN,,,, ,165.4605882, , , , , ,, ,165.4605882, , , , , 
