Y, X, caps_nmmb01, caps_nmmb02, caps_nmmb03, caps_nmmb04, caps_nmmb05, caps_nmmb_rad, core01_arw, core03_arw, core04_arw, core05_arw, core06_arw, core07_arw, core08_arw, core09_arw, core10_arw, s_phys_rad02_arw, s_phys_rad03_arw, s_phys_rad04_arw, s_phys_rad05_arw, s_phys_rad06_arw, s_phys_rad07_arw, s_phys_rad08_arw, s_phys_rad09_arw, s_phys_rad10_arw,OLD BEST,, New Model Best RMSE Value,WA,,NEW BEST,,DIFF,,,,,,,,
2,32,1263.975685,1343.561387,1240.743755,1317.70204,1240.176923,1153.859784,1107.187548,648.8368054,1845.705646,1200.528661,1491.910828,1086.333344,1182.471931,1007.208386,1031.576463,724.1606175,1394.880544,1111.34963,1141.035144,1142.15037,1099.29911,928.193622,1052.518282,930.6964776,648.8368054,,1161.886955,1048.76359,,1048.76359,,-399.9267841,,,,,,,,
2,33,1518.538859,1147.975203,1150.040115,1157.966493,1147.396415,1185.323416,1118.332449,1045.779212,1509.711496,1120.629466,1523.969711,1123.634401,884.7404516,1625.142948,1135.185565,1120.646361,2071.709761,1234.587488,1323.002847,1221.968794,1136.99012,1087.638604,1177.618671,1134.420968,884.7404516,,1081.858118,1158.215869,,1081.858118,,-197.1176667,,,,,,,,
2,34,802.7570824,808.5597071,804.3646354,802.6960404,809.6490598,802.8437374,850.5872089,1299.955568,780.4187765,768.011328,845.265686,745.3111878,775.514152,769.1531707,821.1540253,741.4527632,802.4969367,806.606265,778.7124844,790.0809241,693.8538991,782.1366462,762.1974372,850.997924,693.8538991,,781.2362017,778.5808457,,778.5808457,,-84.7269466,,,,,,,,
2,35,769.6443768,774.7307489,776.9711706,785.1641867,774.0877211,774.0642092,1176.189667,2280.215849,764.8518811,756.6007313,591.2435031,713.086624,760.7225513,753.519564,853.6201341,585.2982715,759.059901,753.5884819,680.1117555,783.116211,681.2133782,744.443461,723.7761164,792.4662348,585.2982715,,700.3445067,723.9646861,,700.3445067,,-115.0462351,,,,,,,,
2,36,1137.04846,316.4126525,332.4803127,297.9251164,328.6072123,318.1696089,307.2964096,574.8581564,316.4181437,314.7948671,442.4326163,283.1498867,308.2111289,312.0452291,306.8600387,419.7376562,306.0721865,303.6250841,277.1179953,382.7690557,228.3149232,301.0990978,290.0744301,296.998555,228.3149232,,313.1099517,291.5047741,,291.5047741,,-63.18985089,,,,,,,,
2,37,212.6955963,56.26296841,61.29939972,116.1367504,51.65835787,57.72986662,25.05542034,918.3832316,57.58658788,34.84540261,453.8091449,33.48147031,21.42094842,50.74677227,54.35835952,970.4493117,45.559755,170.4336014,95.34712896,268.2341794,30.36780179,25.59914473,118.2223541,45.2728893,21.42094842,,23.60413909,62.77190638,,23.60413909,,-2.183190674,,,,,,,,
2,38,32.67348528,42.31408478,45.36466537,61.82992466,55.20525856,53.53538793,28.08484286,6252.17438,157.4886107,125.1052265,89.08230745,28.42098422,23.6918408,77.64707483,67.20523991,4301.719346,106.3016051,211.4806926,94.9871976,144.8804967,20.78521422,14.58352604,67.54550549,24.3179688,14.58352604,,1.532054272,189.106093,,1.532054272,,13.05147177,,,,,,,,
2,39,29.80839092,44.39032013,42.82546945,57.94962791,44.90103991,48.2061113,109.0353823,10265.20149,70.08804359,255.0157675,60.02783729,28.39398686,16.17811524,34.65303844,16.56588605,8159.427169,181.5700737,395.3082974,37.67748105,43.74803865,47.6329417,10.37513335,146.5258012,5.499983909,5.499983909,,0.110715681,133.4380474,,0.110715681,,5.389268228,,,,,,,,
2,48,946.7657577,1331.207722,191.8383651,952.2156618,744.6322806,770.8560177,684.7756324,261.545866,116.8254351,214.9637469,173.6139251,382.1559019,1037.312521,914.6471815,224.7375043,421.7094181,370.2260683,35.78504256,497.9317055,147.2863707,668.9069442,841.422486,347.0166182,192.0415862,35.78504256,,0.00285,286.8088154,,0.00285,,35.78219256,,,,,,,,
2,49,921.7430228,1578.066834,288.8072021,507.1552195,695.4697693,1547.449773,819.0938082,224.151054,434.8937226,283.9779628,256.9748431,693.6694698,674.7700102,621.3606307,625.3648802,789.7139144,315.9097577,233.4145632,1051.40265,398.3472313,879.9352249,717.0971808,941.9346757,589.3075881,224.151054,,0.048560755,546.2241733,,0.048560755,,224.1024932,,,,,,,,
2,50,665.6902934,2191.749134,339.6946423,326.3031821,764.9110624,953.8713051,526.9267659,367.2393225,486.7176286,380.9177733,162.8047143,1735.52674,201.2873775,241.407056,587.2862732,574.9978261,986.0285324,1004.620127,577.1892815,116.2739044,1380.023526,189.2862471,164.5194517,598.6652097,116.2739044,,14.10599802,528.4284343,,14.10599802,,102.1679063,,,,,,,,
2,51,512.8909078,1307.040525,447.1663747,208.1314288,961.3070963,469.8402211,241.0252407,1506.43813,605.0187049,803.1461469,202.4681271,2214.132065,281.3925639,197.6764191,260.203438,629.636456,519.1285005,822.3992947,197.7514012,188.9979607,1187.103815,272.4701666,185.4846299,494.0187918,185.4846299,,175.9753848,358.1725143,,175.9753848,,9.509245072,,,,,,,,
