Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE,,,
7,54, LR, KNN,394.7834898,139.7029208,479.9161385,188.8767415,0,0,0,54.12844037,68.80733945,,,
7,55, KNN, KNN,464.6199966,143.97978,410.5093381,137.6690267,3,1,1,53.88127854,68.49315068,,,
7,56, NN, SVR,50.42585223,13.2988126,40.0575725,18.2454305,1,0,0,53.63636364,68.63636364,,,
7,57, NN, SVR,39.5287985,13.3563738,43.4427335,18.38610229,0,0,0,53.84615385,68.77828054,,,
7,58, SVR, SVR,4.313476504,1.272275366,25.90974569,11.23414714,0,0,0,54.05405405,68.91891892,,,
7,59, SVR, SVR,0.415715975,0.142391485,19.81354985,8.038154602,0,0,0,54.26008969,69.05829596,,,
7,60, SVR, SVR,0.058389812,0.058389812,19.1793524,6.240704854,0,0,0,54.46428571,69.19642857,,,
7,61, RF, RF,0.094474976,0.012196667,14.17534067,5.39622701,0,0,0,54.66666667,69.33333333,,,
7,62, RF, RF,0,0,17.99505683,6.180338033,0,0,0,54.86725664,69.46902655,,,
8,21, RF, RF,0,0,87.01672492,21.72695516,0,0,0,55.0660793,69.60352423,,,
8,22, RF, RF,0,0,262.8027698,62.37297363,0,0,0,55.26315789,69.73684211,,,
8,23, SVR, RF,1.916397188,0.248373334,249.7491408,72.72839355,0,0,0,55.45851528,69.86899563,,,
8,24, KNN, KNN,53.33404008,12.56716496,163.2954697,55.10191243,0,0,0,55.65217391,70,,,
8,25, KNN, SVR,939.1381381,296.5373061,890.674239,260.357487,6,4,4,55.41125541,69.6969697,,,
8,26, KNN, KNN,1460.291874,543.7863351,1445.211449,552.8781901,1,0,0,55.17241379,69.82758621,,,
8,27, KNN, SVR,1368.836624,419.8677705,1657.88725,587.1783854,0,0,0,55.36480687,69.95708155,,,
8,28, KNN, KNN,952.8988874,179.9186991,1182.009306,354.6595378,0,0,0,55.55555556,70.08547009,,,
8,29, POLY, SVR,458.1050312,104.1578212,485.1877472,143.5184733,0,0,0,55.74468085,70.21276596,,,
8,30, KNN, KNN,286.5085711,81.15892022,260.7379671,93.6293457,1,0,0,55.50847458,70.33898305,,,
8,31, KNN, KNN,590.7985963,183.3385148,653.3634517,213.2059082,0,0,0,55.69620253,70.46413502,,,
8,32, KNN, KNN,636.2785468,215.9787912,627.3094664,215.0091309,1,1,0,55.46218487,70.16806723,,,
8,33, KNN, KNN,1757.735336,541.1025756,529.497718,225.3660645,12,10,9,55.23012552,69.87447699,,,
8,34, LR, LR,673.9764464,278.5380139,797.9273985,305.3430013,0,0,0,55.41666667,70,,,
8,35, LR, SVR,2041.673509,638.00163,1057.86899,371.3468424,5,14,5,55.18672199,69.70954357,,,
8,36, KNN, KNN,2259.47203,567.1529559,1434.492477,421.1329102,10,6,6,54.95867769,69.4214876,,,
