Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Cumulative Accuracy RMSE, Cumulative Accuracy MAE
3, 36, KNN, SVR, 109.03074990895443, 34.92693404799079, 237.49884039083614, 73.00169112042683, 100.0, 100.0
3, 37, NN, NN, 80.91804013805499, 36.266056577515506, 98.32608457354044, 36.869165244222685, 100.0, 100.0
3, 38, NN, NN, 33.502151574027415, 16.711006066558106, 61.55358202938436, 18.149640118634263, 100.0, 100.0
3, 40, LR, LR, 0.0, 0.0, 307.12222729721145, 49.05711873372397, 100.0, 100.0
3, 41, LR, LR, 0.0, 0.0, 189.61691344296364, 32.13074007901278, 100.0, 100.0
3, 42, LR, LR, 0.0, 0.0, 211.0294213295072, 39.41162109375, 100.0, 100.0
3, 43, LR, LR, 0.0, 0.0, 511.1181592618998, 65.6415849165483, 100.0, 100.0
3, 44, LR, LR, 0.0, 0.0, 615.0633210401096, 90.67772352430555, 100.0, 100.0
3, 45, LR, LR, 0.0, 0.0, 611.6763259362286, 118.81937123493977, 100.0, 100.0
3, 46, LR, LR, 0.0, 0.0, 243.34396749632802, 47.080116529143254, 100.0, 100.0
3, 47, LR, LR, 0.0, 0.0, 114.13287783142653, 22.33125305175781, 100.0, 100.0
3, 48, LR, SVR, 217.77715228088152, 34.02329723633111, 397.7333542118785, 101.27660361842103, 100.0, 100.0
3, 49, LR, LR, 58.505469308466125, 15.204188570056669, 702.115803797171, 134.26194629854368, 100.0, 100.0
3, 50, LR, SVR, 132.76784990461692, 31.56756446503436, 1011.208550534096, 227.1675046410891, 100.0, 100.0
3, 51, KNN, KNN, 74.79058591459535, 16.393774126966793, 1511.4486865505796, 327.0754348466981, 100.0, 100.0
3, 52, KNN, SVR, 66.4060272066629, 24.454593493254038, 1153.4182303202458, 281.4696922971491, 100.0, 100.0
3, 53, LR, LR, 253.09617156129357, 99.77854573119694, 1698.179760802725, 410.3458862304688, 100.0, 100.0
3, 54, LR, KNN, 290.68256432235694, 87.08488348680326, 1294.8604451905555, 313.400494990458, 100.0, 100.0
3, 55, LR, LR, 555.339536145102, 197.81719947851852, 995.0128977388516, 250.94944519927537, 100.0, 100.0
3, 56, KNN, KNN, 703.5790728797867, 167.65144655448606, 884.8391106569893, 254.6668760926573, 100.0, 100.0
3, 57, KNN, KNN, 80.663021380568, 28.66789306182237, 716.0366439816299, 171.8855168269231, 100.0, 100.0
3, 58, RF, RF, 152.72843198183426, 46.165616690715154, 278.99515367591584, 71.40093392385563, 100.0, 100.0
3, 59, NN, SVR, 58.48691363145153, 13.270204914797578, 306.95576875444317, 71.95415004432624, 100.0, 100.0
3, 60, NN, KNN, 59.2416148986535, 14.476289859910805, 230.49203580911114, 28.810117885044647, 100.0, 100.0
3, 61, NN, NN, 15.352969224190174, 2.1409522658330906, 253.29174862925186, 40.917275465171755, 100.0, 100.0
3, 62, LR, LR, 0.0, 0.0, 504.0448062093951, 44.80791015625, 100.0, 100.0
3, 63, LR, LR, 0.0, 0.0, 743.8267466336725, 92.84355617843512, 100.0, 100.0
3, 64, LR, LR, 0.0, 0.0, 207.56201133545204, 46.30953676645992, 100.0, 100.0
3, 65, LR, LR, 0.0, 0.0, 256.819514311188, 36.2540704135237, 100.0, 100.0
4, 1, LR, LR, 0.0, 0.0, 19.06602464614617, 3.3130527283093945, 100.0, 100.0
4, 2, LR, LR, 0.0, 0.0, 15.414568478260028, 4.371185105846775, 100.0, 100.0
4, 3, LR, LR, 0.0, 0.0, 19.000074013013734, 5.7723600260416665, 100.0, 100.0
4, 4, LR, LR, 0.0, 0.0, 13.110388240992158, 4.375016249619521, 100.0, 100.0
4, 5, LR, LR, 0.0, 0.0, 9.184761258702952, 2.7451581621503496, 100.0, 100.0
4, 6, LR, LR, 0.0, 0.0, 6.923012462974483, 2.246989501953125, 100.0, 100.0
4, 7, LR, LR, 0.0, 0.0, 13.025765732449925, 3.3345999368807164, 100.0, 100.0
4, 8, LR, LR, 0.0, 0.0, 6.535058599291799, 1.8850520110327351, 100.0, 100.0
4, 9, LR, LR, 0.0, 0.0, 3.0052507051184643, 1.1296638326441988, 100.0, 100.0
4, 10, LR, LR, 0.0, 0.0, 2.3646806988383924, 0.7643716141984269, 100.0, 100.0
4, 11, LR, LR, 0.0, 0.0, 2.5189361579198035, 0.5505562424659729, 100.0, 100.0
4, 12, LR, LR, 0.0, 0.0, 2.7708512388535693, 0.7796736600106222, 100.0, 100.0
4, 13, LR, LR, 0.0, 0.0, 5.429280600439543, 1.5876911708286832, 100.0, 100.0
4, 14, LR, LR, 0.0, 0.0, 12.783976236035974, 0.19570868948231573, 100.0, 100.0
4, 15, LR, LR, 0.0, 0.0, 12.601381474404961, 0.01779999956488609, 100.0, 100.0
4, 16, LR, LR, 0.0, 0.0, 2.989752850633744, nan, 100.0, 100.0
4, 17, LR, LR, 0.0, 0.0, 4.148507998263188, 0.6860333548651801, 100.0, 100.0
4, 18, LR, LR, 0.0, 0.0, 3.4766544492756206, 0.029170000553131105, 100.0, 100.0
4, 19, LR, LR, 0.0, 0.0, 75.15250299821392, 15.311809671336205, 100.0, 100.0
4, 20, LR, LR, 0.0, 0.0, 242.614396094518, 107.92559344951924, 100.0, 100.0
4, 21, LR, LR, 0.0, 0.0, 486.6231737263929, 173.01625147405662, 100.0, 100.0
4, 22, LR, LR, 0.0, 0.0, 614.5667131385812, 175.2092833227041, 100.0, 100.0
4, 23, LR, LR, 0.0, 0.0, 605.7183538063965, 154.00139749461206, 100.0, 100.0
4, 24, LR, LR, 0.0, 0.0, 1619.5519557314096, 343.1880538712686, 100.0, 100.0
